"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","760.60","939.00","939.00","760.60","2.88M","-19.00%"
"06/01/2026","939.00","967.00","967.00","939.00","3.66M","-2.90%"
"05/01/2026","967.00","967.00","967.00","967.00","3.25M","0.00%"
"04/01/2026","967.00","798.00","967.00","798.00","4.68M","21.18%"
"03/01/2026","798.00","789.40","798.00","789.40","7.82M","1.09%"
"02/01/2026","789.40","798.90","845.00","760.60","7.35M","-1.19%"
"01/01/2026","798.90","798.90","798.90","798.90","2.41M","0.00%"
"12/01/2025","798.90","692.50","798.90","692.50","2.59M","15.36%"
"11/01/2025","692.50","692.50","692.50","692.50","1.54M","0.00%"
"10/01/2025","692.50","650.00","692.50","650.00","1.78M","9.97%"
"09/01/2025","629.70","590.00","629.70","590.00","1.37M","6.73%"
"08/01/2025","590.00","459.00","590.00","483.40","4.64M","28.54%"
"07/01/2025","459.00","459.00","459.00","459.00","10.53M","0.00%"
"06/01/2025","459.00","440.00","480.00","432.10","1.89M","4.32%"
"05/01/2025","440.00","418.00","440.00","418.00","3.04M","5.26%"
"04/01/2025","418.00","418.00","418.00","418.00","181.70K","0.00%"
"03/01/2025","418.00","418.00","418.00","418.00","230.09K","0.00%"
"02/01/2025","418.00","415.00","418.00","373.50","1.96M","0.72%"
"01/01/2025","415.00","415.00","415.00","415.00","13.34M","0.00%"
"12/01/2024","415.00","394.90","415.00","394.90","7.97M","5.09%"
"11/01/2024","394.90","394.90","394.90","355.50","726.25K","0.00%"
"10/01/2024","394.90","394.90","394.90","394.90","310.42K","0.00%"
"09/01/2024","394.90","394.90","394.90","394.90","3.38M","0.00%"
"08/01/2024","394.90","379.90","394.90","342.00","850.37K","3.95%"
"07/01/2024","379.90","379.90","379.90","342.00","328.15K","0.00%"
"06/01/2024","379.90","379.90","342.00","342.00","145.79K","0.00%"
"05/01/2024","379.90","379.90","358.80","342.00","121.86K","0.00%"
"04/01/2024","379.90","379.90","358.60","342.00","217.85K","0.00%"
"03/01/2024","379.90","379.90","395.00","342.00","277.84K","0.00%"
"02/01/2024","379.90","271.80","379.90","285.00","2.63M","39.77%"
"01/01/2024","271.80","193.40","271.80","196.90","8.18M","40.54%"
"12/01/2023","193.40","198.90","193.40","179.20","1.41M","-2.77%"
"11/01/2023","198.90","202.80","198.90","182.70","1.77M","-1.92%"
"10/01/2023","202.80","202.80","220.00","182.60","1.58M","0.00%"
"09/01/2023","202.80","180.00","202.80","180.00","1.53M","12.67%"
"08/01/2023","180.00","135.75","180.00","122.20","5.63M","32.60%"
"07/01/2023","135.75","135.75","144.90","122.20","1.82M","0.00%"
"06/01/2023","135.75","129.90","135.75","135.75","1.83M","4.50%"
"05/01/2023","129.90","114.00","129.90","102.60","3.17M","13.95%"
"04/01/2023","114.00","102.00","114.00","108.00","1.02M","11.76%"
"03/01/2023","102.00","90.00","102.00","95.00","4.02M","13.33%"
"02/01/2023","90.00","74.50","90.00","74.40","53.93M","20.81%"
"01/01/2023","74.50","65.00","74.50","64.90","6.46M","14.62%"
"12/01/2022","65.00","63.40","65.00","63.55","2.22M","2.52%"
"11/01/2022","63.40","58.30","63.40","52.50","13.45M","8.75%"
"10/01/2022","58.30","58.30","57.30","52.50","895.17K","0.00%"
"09/01/2022","58.30","58.30","58.25","52.50","839.47K","0.00%"
"08/01/2022","58.30","50.80","59.95","50.45","8.51M","14.76%"
