"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","26.20","22.00","31.30","21.90","1.42B","19.09%"
"06/01/2026","22.00","24.00","26.00","21.50","2.05B","-8.52%"
"05/01/2026","24.05","26.05","26.30","23.00","1.76B","-10.93%"
"04/01/2026","27.00","26.00","36.00","25.00","2.79B","4.45%"
"03/01/2026","25.85","26.50","26.50","24.50","1.18B","-2.45%"
"02/01/2026","26.50","22.40","28.00","22.40","1.18B","17.26%"
"01/01/2026","22.60","21.00","25.00","21.90","812.10M","7.62%"
"12/01/2025","21.00","21.00","22.45","20.00","2.43B","0.00%"
"11/01/2025","21.00","24.45","24.30","19.90","1.48B","-14.11%"
"10/01/2025","24.45","25.65","27.00","22.80","736.98M","-4.68%"
"09/01/2025","25.65","26.50","27.40","24.55","558.70M","-3.21%"
"08/01/2025","26.50","28.35","28.50","26.40","840.33M","-5.02%"
"07/01/2025","27.90","22.10","28.95","22.00","1.82B","26.24%"
"06/01/2025","22.10","22.00","23.40","20.00","1.17B","0.45%"
"05/01/2025","22.00","22.00","23.65","21.00","804.51M","-2.22%"
"04/01/2025","22.50","21.95","24.10","20.00","809.82M","0.67%"
"03/01/2025","22.35","25.60","25.70","21.70","624.78M","-12.70%"
"02/01/2025","25.60","26.00","28.90","25.60","1.17B","-1.54%"
"01/01/2025","26.00","23.85","27.90","24.00","692.47M","9.01%"
"12/01/2024","23.85","23.20","25.00","23.00","496.78M","2.80%"
"11/01/2024","23.20","22.05","25.30","22.00","554.46M","5.22%"
"10/01/2024","22.05","20.60","23.80","19.40","482.56M","7.04%"
"09/01/2024","20.60","19.00","21.20","18.00","510.06M","8.42%"
"08/01/2024","19.00","18.30","19.95","18.30","727.08M","3.83%"
"07/01/2024","18.30","18.95","19.90","18.20","525.82M","-3.43%"
"06/01/2024","18.95","17.20","19.60","17.10","598.42M","10.17%"
"05/01/2024","17.20","16.85","18.50","16.30","1.33B","2.08%"
"04/01/2024","16.85","24.90","25.75","15.95","745.94M","-31.22%"
"03/01/2024","24.50","20.45","25.00","19.80","616.13M","27.94%"
"02/01/2024","19.15","22.70","27.40","16.10","442.47M","-15.64%"
"01/01/2024","22.70","23.15","30.70","22.70","870.43M","-1.94%"
"12/01/2023","23.15","18.00","24.50","17.95","608.14M","28.61%"
"11/01/2023","18.00","17.15","18.35","17.10","424.34M","4.96%"
"10/01/2023","17.15","15.75","17.15","15.65","583.87M","8.89%"
"09/01/2023","15.75","16.60","18.80","14.45","838.57M","-5.12%"
"08/01/2023","16.60","17.00","17.95","15.85","498.20M","-2.35%"
"07/01/2023","17.00","16.60","19.85","14.50","1.06B","2.41%"
"06/01/2023","16.60","12.30","17.25","12.00","1.19B","34.96%"
"05/01/2023","12.30","10.10","12.75","9.60","2.45B","21.18%"
"04/01/2023","10.15","9.00","10.80","8.65","1.82B","12.78%"
"03/01/2023","9.00","9.55","9.60","8.40","163.15M","-5.76%"
"02/01/2023","9.55","9.10","9.60","9.05","135.38M","4.95%"
"01/01/2023","9.10","8.50","9.60","8.55","209.35M","7.06%"
"12/01/2022","8.50","8.50","8.90","8.40","411.11M","0.00%"
"11/01/2022","8.50","7.80","8.80","7.75","827.72M","8.97%"
"10/01/2022","7.80","8.05","8.40","7.50","97.10M","-3.11%"
"09/01/2022","8.05","8.30","9.00","8.00","122.05M","-3.01%"
"08/01/2022","8.30","9.00","9.25","8.00","291.59M","-7.78%"
