"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","297.00","340.20","340.20","274.00","56.15M","-12.70%"
"06/01/2026","340.20","420.00","378.00","340.20","13.72M","-19.00%"
"05/01/2026","420.00","418.00","460.00","401.00","28.08M","0.48%"
"04/01/2026","418.00","326.70","418.00","317.00","18.10M","27.95%"
"03/01/2026","326.70","219.00","326.70","219.00","28.51M","49.18%"
"02/01/2026","219.00","183.00","219.00","173.00","35.51M","19.67%"
"01/01/2026","183.00","178.50","183.00","178.50","13.63M","2.52%"
"12/01/2025","178.50","160.00","178.50","160.00","10.43M","11.56%"
"11/01/2025","160.00","180.00","180.00","151.20","11.86M","-11.11%"
"10/01/2025","180.00","159.00","185.00","159.00","29.41M","12.50%"
"09/01/2025","160.00","151.80","160.00","151.80","10.64M","5.40%"
"08/01/2025","151.80","135.00","183.00","148.00","28.99M","12.44%"
"07/01/2025","135.00","95.40","135.00","90.00","43.71M","41.51%"
"06/01/2025","95.40","83.70","105.90","83.70","31.30M","13.98%"
"05/01/2025","83.70","83.70","83.70","83.70","7.85M","0.00%"
"04/01/2025","83.70","83.70","83.70","83.70","10.32M","0.00%"
"03/01/2025","83.70","93.00","93.00","83.70","3.11M","-10.00%"
"02/01/2025","93.00","93.00","93.00","93.00","14.39M","0.00%"
"01/01/2025","93.00","93.00","93.00","93.00","18.02M","0.00%"
"12/01/2024","93.00","95.00","95.00","93.00","13.05M","-2.11%"
"11/01/2024","95.00","97.80","97.80","88.20","11.22M","-2.86%"
"10/01/2024","97.80","110.00","110.00","88.20","5.01M","-11.09%"
"09/01/2024","110.00","113.90","113.90","102.60","7.81M","-3.42%"
"08/01/2024","113.90","143.20","143.20","103.00","6.90M","-20.46%"
