"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","1,014.50","963.00","1,047.00","891.00","18.94M","5.35%"
"06/01/2026","963.00","1,180.00","1,180.00","963.00","18.81M","-18.39%"
"05/01/2026","1,180.00","970.00","1,189.00","970.00","41.15M","21.65%"
"04/01/2026","970.00","810.00","970.00","810.00","33.81M","19.75%"
"03/01/2026","810.00","779.00","815.00","794.90","132.98M","3.98%"
"02/01/2026","779.00","635.00","829.50","635.00","28.12M","22.68%"
"01/01/2026","635.00","609.00","635.00","609.00","14.98M","4.27%"
"12/01/2025","609.00","534.60","614.90","534.60","11.39M","13.92%"
"11/01/2025","534.60","660.00","660.00","534.60","19.17M","-19.00%"
"10/01/2025","660.00","527.00","665.00","527.00","60.33M","25.69%"
"09/01/2025","525.10","520.20","528.00","511.20","12.54M","0.94%"
"08/01/2025","520.20","528.30","577.00","520.00","39.71M","-1.53%"
"07/01/2025","528.30","440.00","528.30","425.00","46.58M","20.07%"
"06/01/2025","440.00","440.00","450.00","420.00","13.12M","0.00%"
"05/01/2025","440.00","432.00","440.00","432.00","9.39M","1.85%"
"04/01/2025","432.00","480.00","480.00","432.00","3.53M","-10.00%"
"03/01/2025","480.00","480.00","480.00","480.00","2.65M","0.00%"
"02/01/2025","480.00","394.00","489.00","394.00","14.58M","21.83%"
"01/01/2025","394.00","478.80","478.80","349.20","16.85M","-17.71%"
"12/01/2024","478.80","478.80","478.80","478.80","6.32M","0.00%"
"11/01/2024","478.80","478.80","478.80","478.80","837.24K","0.00%"
"10/01/2024","478.80","532.00","532.00","478.80","960.54K","-10.00%"
"09/01/2024","532.00","532.00","532.00","532.00","790.38K","0.00%"
"08/01/2024","532.00","591.10","591.10","532.00","749.25K","-10.00%"
"07/01/2024","591.10","656.70","591.10","591.10","1.35M","-9.99%"
"06/01/2024","656.70","656.70","591.10","591.10","414.69K","0.00%"
"05/01/2024","656.70","656.70","591.50","591.10","200.93K","0.00%"
"04/01/2024","656.70","686.70","618.10","618.10","1.23M","-4.37%"
"03/01/2024","686.70","686.70","686.70","618.10","7.76M","0.00%"
"02/01/2024","686.70","763.00","686.70","686.70","1.53M","-10.00%"
"01/01/2024","763.00","319.90","763.00","325.00","34.52M","138.51%"
"12/01/2023","319.90","320.00","320.00","313.00","22.25M","-0.03%"
"11/01/2023","320.00","328.00","328.00","320.00","2.98M","-2.44%"
"10/01/2023","328.00","340.00","328.00","310.10","5.97M","-3.53%"
"09/01/2023","340.00","360.00","380.00","324.00","14.16M","-5.56%"
"08/01/2023","360.00","352.00","360.00","320.00","7.58M","2.27%"
"07/01/2023","352.00","285.00","360.70","290.00","147.62M","23.51%"
"06/01/2023","285.00","290.00","287.50","272.90","18.24M","-1.72%"
"05/01/2023","290.00","270.00","290.00","270.00","8.25M","7.41%"
"04/01/2023","270.00","270.00","270.00","260.00","5.01M","0.00%"
"03/01/2023","270.00","278.00","290.00","276.00","13.71M","-2.88%"
"02/01/2023","278.00","266.90","278.00","265.00","20.39M","4.16%"
"01/01/2023","266.90","261.00","270.00","262.00","10.11M","2.26%"
"12/01/2022","261.00","262.30","261.00","260.00","3.57M","-0.50%"
"11/01/2022","262.30","220.50","262.30","220.00","5.47M","18.96%"
"10/01/2022","220.50","245.00","245.00","220.50","11.58M","-10.00%"
"09/01/2022","245.00","245.00","245.00","245.00","1.60M","0.00%"
"08/01/2022","245.00","265.00","265.00","241.00","7.42M","-7.55%"
