"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","92.350","101.200","102.750","88.250","30.32M","-8.75%"
"06/01/2026","101.200","136.500","136.500","99.600","19.20M","-25.86%"
"05/01/2026","136.500","98.700","136.500","98.700","18.13M","38.30%"
"04/01/2026","98.700","100.000","100.000","94.500","14.60M","-1.30%"
"03/01/2026","100.000","90.000","105.350","81.000","20.77M","11.11%"
"02/01/2026","90.000","68.750","95.500","67.000","23.64M","30.91%"
"01/01/2026","68.750","50.100","74.000","54.500","34.37M","37.23%"
"12/01/2025","50.100","40.000","50.100","40.000","23.89M","25.25%"
"11/01/2025","40.000","40.950","40.950","36.855","7.71M","-4.76%"
"10/01/2025","42.000","43.500","43.500","40.100","15.61M","0.41%"
"09/01/2025","41.827","41.925","41.925","39.000","10.36M","-0.23%"
"08/01/2025","41.925","42.803","42.803","38.561","17.42M","-4.50%"
"07/01/2025","43.900","44.000","47.000","40.000","25.00M","-0.23%"
"06/01/2025","44.000","27.850","44.650","27.950","28.73M","57.99%"
"05/01/2025","27.850","22.000","27.950","22.450","23.43M","26.59%"
"04/01/2025","22.000","18.050","22.500","17.550","10.49M","21.88%"
"03/01/2025","18.050","18.850","19.000","17.050","7.77M","-4.24%"
"02/01/2025","18.850","16.800","20.900","17.000","21.62M","12.20%"
"01/01/2025","16.800","15.500","17.250","15.550","15.45M","8.39%"
"12/01/2024","15.500","15.400","15.500","13.900","7.49M","0.65%"
"11/01/2024","15.400","15.400","15.400","14.100","4.87M","0.00%"
"10/01/2024","15.400","15.750","16.000","13.950","6.32M","-2.22%"
"09/01/2024","15.750","13.000","17.450","12.500","18.14M","21.15%"
"08/01/2024","13.000","14.750","14.750","12.400","5.31M","-11.86%"
