"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","72.85","72.50","78.15","69.10","112.18M","0.48%"
"06/01/2026","72.50","83.60","83.75","70.00","75.61M","-13.28%"
"05/01/2026","83.60","78.70","103.00","78.95","205.64M","6.23%"
"04/01/2026","78.70","73.00","80.00","70.00","124.95M","7.81%"
"03/01/2026","73.00","79.95","82.00","67.00","198.44M","-8.69%"
"02/01/2026","79.95","78.80","86.00","78.00","147.56M","1.46%"
"01/01/2026","78.80","75.30","87.30","74.80","89.45M","4.65%"
"12/01/2025","75.30","66.75","82.40","66.75","67.48M","12.81%"
"11/01/2025","66.75","71.50","71.50","60.00","91.11M","-6.64%"
"10/01/2025","71.50","73.00","79.45","69.00","137.13M","-2.05%"
"09/01/2025","73.00","70.20","77.00","66.00","179.92M","3.99%"
"08/01/2025","70.20","77.05","76.10","67.50","190.59M","-8.89%"
"07/01/2025","77.05","59.00","78.70","59.00","452.54M","30.59%"
"06/01/2025","59.00","57.00","59.50","55.40","235.01M","3.51%"
"05/01/2025","57.00","43.00","60.00","43.05","327.30M","32.56%"
"04/01/2025","43.00","34.10","43.50","31.95","154.91M","26.10%"
"03/01/2025","34.10","34.80","34.10","31.00","103.77M","-2.01%"
"02/01/2025","34.80","35.80","36.30","32.30","61.23M","-2.79%"
"01/01/2025","35.80","32.00","35.80","31.00","205.80M","11.87%"
"12/01/2024","32.00","27.00","32.50","27.15","51.47M","18.52%"
"11/01/2024","27.00","28.00","28.85","27.00","35.91M","-3.57%"
"10/01/2024","28.00","29.20","30.10","27.75","118.21M","-4.11%"
"09/01/2024","29.20","28.30","29.20","26.00","39.84M","3.18%"
"08/01/2024","28.30","25.25","31.00","25.50","21.18M","12.08%"
"07/01/2024","25.25","29.50","29.95","25.25","52.26M","-14.41%"
"06/01/2024","29.50","26.50","31.90","26.00","202.73M","11.32%"
"05/01/2024","26.50","25.60","26.90","22.60","521.38M","3.52%"
"04/01/2024","25.60","29.35","29.30","25.60","169.78M","-12.78%"
"03/01/2024","29.35","32.50","32.50","27.95","102.55M","-9.69%"
"02/01/2024","32.50","37.00","39.00","30.60","84.51M","-12.16%"
"01/01/2024","37.00","36.00","43.00","36.55","155.75M","2.78%"
"12/01/2023","36.00","37.05","37.90","35.95","93.62M","-2.83%"
"11/01/2023","37.05","37.15","40.00","37.00","60.52M","-0.27%"
"10/01/2023","37.15","40.85","42.00","36.05","13.75M","-9.06%"
"09/01/2023","40.85","39.00","40.95","38.00","59.96M","4.74%"
"08/01/2023","39.00","36.50","42.50","37.00","16.01M","6.85%"
"07/01/2023","36.50","45.00","45.90","36.00","48.86M","-18.89%"
"06/01/2023","45.00","41.80","46.50","40.00","50.73M","7.66%"
"05/01/2023","41.80","32.00","42.40","32.00","65.22M","30.62%"
"04/01/2023","32.00","37.00","37.00","32.00","29.32M","-13.51%"
"03/01/2023","37.00","41.35","40.85","36.50","24.22M","-10.52%"
"02/01/2023","41.35","41.80","42.00","40.00","47.35M","-1.08%"
"01/01/2023","41.80","41.00","48.85","41.80","14.05M","1.95%"
"12/01/2022","41.00","33.60","41.00","36.00","27.04M","22.02%"
"11/01/2022","33.60","33.48","39.16","28.80","51.62M","0.36%"
"10/01/2022","33.48","38.72","37.16","32.88","17.59M","-13.53%"
"09/01/2022","38.72","36.40","39.00","36.48","17.94M","6.37%"
"08/01/2022","36.40","38.16","37.72","34.48","22.80M","-4.61%"
