"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","37.55","39.95","43.90","36.05","116.28M","-6.01%"
"06/01/2026","39.95","51.00","53.95","39.70","105.78M","-21.67%"
"05/01/2026","51.00","46.00","55.00","43.65","135.18M","10.87%"
"04/01/2026","46.00","50.00","49.95","43.00","116.10M","-8.00%"
"03/01/2026","50.00","43.00","56.80","43.00","273.65M","19.62%"
"02/01/2026","41.80","42.00","47.95","38.50","273.63M","3.21%"
"01/01/2026","40.50","40.20","47.00","39.55","92.24M","0.75%"
"12/01/2025","40.20","38.85","40.50","37.20","60.23M","3.47%"
"11/01/2025","38.85","48.05","48.05","36.00","83.78M","-19.15%"
"10/01/2025","48.05","46.00","51.40","41.50","111.93M","4.46%"
"09/01/2025","46.00","51.20","51.50","44.50","61.97M","-10.16%"
"08/01/2025","51.20","53.10","59.00","47.00","111.37M","-13.22%"
"07/01/2025","59.00","54.95","62.80","49.00","175.18M","7.37%"
"06/01/2025","54.95","45.20","71.00","45.05","505.54M","21.57%"
"05/01/2025","45.20","42.05","54.45","41.00","78.08M","7.49%"
"04/01/2025","42.05","48.35","47.95","35.75","86.30M","-5.78%"
"03/01/2025","44.63","53.58","56.31","44.31","68.26M","-23.12%"
"02/01/2025","58.05","68.40","74.70","47.00","150.07M","-15.13%"
"01/01/2025","68.40","66.00","78.00","61.00","184.56M","3.64%"
"12/01/2024","66.00","64.95","75.65","61.00","130.55M","1.62%"
"11/01/2024","64.95","89.65","80.70","57.15","222.26M","-27.55%"
"10/01/2024","89.65","82.60","89.65","68.90","130.42M","8.54%"
"09/01/2024","82.60","76.90","98.40","72.00","400.08M","7.41%"
"08/01/2024","76.90","25.00","76.90","22.50","547.75M","207.60%"
"07/01/2024","25.00","15.00","27.00","14.00","360.17M","66.67%"
"06/01/2024","15.00","11.80","15.80","12.50","338.49M","27.12%"
"05/01/2024","11.80","9.65","11.95","9.00","90.26M","22.28%"
"04/01/2024","9.65","11.60","13.80","8.30","138.70M","-16.81%"
"03/01/2024","11.60","10.85","12.35","10.35","100.60M","6.91%"
"02/01/2024","10.85","11.65","15.45","9.90","189.16M","-6.87%"
"01/01/2024","11.65","10.50","15.15","10.65","317.50M","10.95%"
"12/01/2023","10.50","11.70","12.00","9.60","132.23M","-10.26%"
"11/01/2023","11.70","8.70","12.70","8.45","281.77M","34.48%"
"10/01/2023","8.70","7.10","10.35","7.10","245.44M","10.83%"
"09/01/2023","7.85","5.60","16.00","5.50","874.15M","40.18%"
"08/01/2023","5.60","5.13","5.65","5.12","62.10M","9.16%"
"07/01/2023","5.13","5.75","5.85","5.02","124.40M","-10.78%"
"06/01/2023","5.75","5.77","5.99","5.45","104.30M","-0.35%"
"05/01/2023","5.77","5.56","6.24","5.48","149.70M","3.78%"
"04/01/2023","5.56","5.70","5.80","5.50","125.26M","-2.46%"
"03/01/2023","5.70","5.25","5.76","4.00","118.73M","18.75%"
"02/01/2023","4.80","3.85","4.84","3.75","89.81M","24.68%"
"01/01/2023","3.85","3.92","4.10","3.80","40.24M","-1.79%"
"12/01/2022","3.92","3.95","4.00","3.70","35.59M","-0.76%"
"11/01/2022","3.95","4.30","4.39","3.53","64.03M","-8.14%"
"10/01/2022","4.30","4.80","4.96","4.12","61.28M","-10.42%"
"09/01/2022","4.80","5.10","5.22","4.55","37.87M","-5.88%"
"08/01/2022","5.10","5.00","5.10","4.53","57.70M","2.00%"
