"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","126.45","56.05","128.00","52.50","4.86B","125.60%"
"06/01/2026","56.05","70.00","72.00","55.00","382.77M","-19.93%"
"05/01/2026","70.00","64.65","81.90","60.05","1.07B","8.28%"
"04/01/2026","64.65","50.00","79.85","50.00","511.36M","29.30%"
"03/01/2026","50.00","53.95","55.00","49.10","484.98M","-7.32%"
"02/01/2026","53.95","41.00","57.00","40.60","441.80M","19.89%"
"01/01/2026","45.00","47.90","52.85","45.00","173.69M","-6.05%"
"12/01/2025","47.90","31.05","55.30","30.15","934.46M","54.27%"
"11/01/2025","31.05","31.50","32.95","29.85","372.33M","-1.43%"
"10/01/2025","31.50","31.50","34.40","30.90","392.86M","0.00%"
"09/01/2025","31.50","32.50","32.50","30.00","432.08M","-3.08%"
"08/01/2025","32.50","32.25","34.00","29.25","334.44M","0.78%"
"07/01/2025","32.25","25.50","37.50","25.45","408.25M","24.04%"
"06/01/2025","26.00","25.00","30.05","25.00","263.24M","4.00%"
"05/01/2025","25.00","24.85","26.00","24.00","259.83M","0.60%"
"04/01/2025","24.85","28.15","28.00","23.55","107.78M","-11.72%"
"03/01/2025","28.15","29.30","29.55","26.75","80.20M","-3.92%"
"02/01/2025","29.30","29.95","33.50","29.00","399.45M","-2.17%"
"01/01/2025","29.95","28.05","31.50","27.90","521.91M","6.77%"
"12/01/2024","28.05","26.30","28.50","25.50","173.14M","6.65%"
"11/01/2024","26.30","26.15","27.75","24.90","808.08M","0.57%"
"10/01/2024","26.15","26.85","29.00","22.92","100.83M","-2.61%"
"09/01/2024","26.85","22.38","33.81","21.13","603.92M","19.34%"
"08/01/2024","22.50","20.95","24.85","20.00","194.25M","7.40%"
"07/01/2024","20.95","21.90","23.95","20.00","165.49M","-4.34%"
"06/01/2024","21.90","23.45","23.50","19.90","1.81B","-6.61%"
"05/01/2024","23.45","23.90","29.50","20.30","208.58M","-1.88%"
"04/01/2024","23.90","35.55","35.70","18.50","218.43M","-32.77%"
"03/01/2024","35.55","27.90","43.95","28.00","441.61M","27.42%"
"02/01/2024","27.90","22.10","34.10","22.10","1.09B","28.57%"
"01/01/2024","21.70","23.55","29.35","21.20","242.97M","-7.86%"
"12/01/2023","23.55","22.05","31.00","22.00","164.43M","6.80%"
"11/01/2023","22.05","19.00","22.55","17.70","585.44M","23.18%"
"10/01/2023","17.90","16.35","18.00","15.90","107.93M","9.48%"
"09/01/2023","16.35","16.80","19.10","16.05","142.22M","-2.68%"
"08/01/2023","16.80","18.00","19.50","16.45","642.91M","-6.67%"
"07/01/2023","18.00","17.05","23.50","15.75","5.84B","5.57%"
"06/01/2023","17.05","14.40","17.40","12.90","305.22M","18.40%"
"05/01/2023","14.40","10.85","15.20","10.85","728.68M","32.72%"
"04/01/2023","10.85","11.10","11.20","10.30","38.54M","-2.25%"
"03/01/2023","11.10","11.65","11.65","10.55","75.63M","-4.72%"
"02/01/2023","11.65","11.70","11.95","11.50","142.87M","-0.43%"
"01/01/2023","11.70","10.90","11.80","10.70","465.82M","7.34%"
"12/01/2022","10.90","11.20","11.80","10.60","494.02M","-2.68%"
"11/01/2022","11.20","9.85","11.20","9.05","193.48M","13.71%"
"10/01/2022","9.85","10.20","9.95","9.00","139.45M","-3.43%"
"09/01/2022","10.20","11.15","10.85","9.55","128.99M","-8.52%"
"08/01/2022","11.15","11.00","11.15","10.05","520.51M","1.36%"
