"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","130.00","125.00","132.50","119.00","440.73M","4.00%"
"06/01/2026","125.00","137.00","137.00","115.55","386.17M","-8.76%"
"05/01/2026","137.00","135.00","156.95","136.00","488.57M","1.48%"
"04/01/2026","135.00","123.90","137.85","117.00","709.33M","19.84%"
"03/01/2026","112.65","117.00","127.50","100.00","713.74M","-3.72%"
"02/01/2026","117.00","99.00","122.95","98.50","555.27M","18.18%"
"01/01/2026","99.00","90.70","100.05","90.70","348.36M","9.15%"
"12/01/2025","90.70","86.40","93.40","80.50","380.97M","4.98%"
"11/01/2025","86.40","89.50","95.00","77.50","784.05M","-3.46%"
"10/01/2025","89.50","93.85","99.25","88.55","541.77M","-4.69%"
"09/01/2025","93.90","92.00","95.00","85.15","309.34M","2.07%"
"08/01/2025","92.00","100.50","102.00","90.15","436.99M","-8.46%"
"07/01/2025","100.50","81.25","103.20","80.00","504.83M","23.69%"
"06/01/2025","81.25","67.00","84.95","66.60","582.11M","21.27%"
"05/01/2025","67.00","65.40","71.00","63.25","681.22M","2.45%"
"04/01/2025","65.40","68.80","70.00","56.95","578.92M","-4.94%"
"03/01/2025","68.80","61.20","70.00","57.20","302.42M","12.42%"
"02/01/2025","61.20","61.05","64.50","60.55","184.60M","0.25%"
"01/01/2025","61.05","57.00","64.00","56.20","393.83M","7.11%"
"12/01/2024","57.00","52.95","58.75","51.40","377.56M","7.65%"
"11/01/2024","52.95","53.70","57.00","50.00","240.72M","-1.40%"
"10/01/2024","53.70","48.00","54.50","46.40","191.71M","11.88%"
"09/01/2024","48.00","45.50","48.00","45.30","247.03M","5.49%"
"08/01/2024","45.50","44.00","46.50","44.00","782.51M","3.41%"
"07/01/2024","44.00","45.00","47.65","43.00","534.63M","-2.22%"
"06/01/2024","45.00","40.00","45.00","39.00","416.00M","12.50%"
"05/01/2024","40.00","32.70","42.55","33.50","493.19M","22.32%"
"04/01/2024","32.70","52.50","53.95","32.35","924.69M","-37.71%"
"03/01/2024","52.50","39.75","52.50","39.60","631.88M","32.58%"
"02/01/2024","39.60","37.00","44.15","36.00","499.37M","7.03%"
"01/01/2024","37.00","40.50","48.80","36.90","493.58M","-8.64%"
"12/01/2023","40.50","39.00","41.40","39.00","548.79M","3.85%"
"11/01/2023","39.00","34.80","39.10","34.95","430.10M","12.07%"
"10/01/2023","34.80","34.45","36.20","34.45","347.35M","1.02%"
"09/01/2023","34.45","36.70","41.80","31.95","330.92M","-6.13%"
"08/01/2023","36.70","36.65","38.05","35.20","307.97M","0.14%"
"07/01/2023","36.65","35.00","38.90","30.35","544.78M","4.71%"
"06/01/2023","35.00","28.70","35.50","27.60","1.10B","21.95%"
"05/01/2023","28.70","22.05","29.55","22.05","615.14M","15.49%"
"04/01/2023","24.85","25.50","25.50","24.20","172.37M","-2.55%"
"03/01/2023","25.50","26.65","27.05","23.65","312.94M","-4.32%"
"02/01/2023","26.65","24.95","26.85","24.95","383.92M","6.81%"
"01/01/2023","24.95","23.00","25.05","22.30","313.55M","8.48%"
"12/01/2022","23.00","20.00","24.50","20.05","229.25M","15.00%"
"11/01/2022","20.00","17.60","20.50","17.45","211.82M","13.64%"
"10/01/2022","17.60","17.75","18.75","16.80","436.14M","-0.85%"
"09/01/2022","17.75","19.85","20.00","17.50","354.72M","-10.58%"
"08/01/2022","19.85","19.85","20.75","19.80","222.36M","0.00%"
