"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","364.00","310.00","389.90","290.00","118.03M","17.42%"
"06/01/2026","310.00","342.00","342.00","307.90","59.23M","-9.36%"
"05/01/2026","342.00","350.00","352.00","324.00","84.71M","-2.29%"
"04/01/2026","350.00","219.90","350.00","210.00","164.81M","59.16%"
"03/01/2026","219.90","200.00","229.30","200.00","116.25M","9.95%"
"02/01/2026","200.00","157.00","214.00","157.00","158.69M","27.39%"
"01/01/2026","157.00","134.50","164.40","134.00","103.61M","16.73%"
"12/01/2025","134.50","134.00","140.50","133.00","53.95M","0.37%"
"11/01/2025","134.00","140.00","140.00","130.00","71.19M","-4.29%"
"10/01/2025","140.00","125.25","152.35","125.00","143.18M","11.91%"
"09/01/2025","125.10","130.00","130.00","103.00","65.57M","-3.77%"
"08/01/2025","130.00","149.00","149.00","130.00","87.73M","-12.75%"
"07/01/2025","149.00","87.20","154.30","87.20","169.32M","70.87%"
"06/01/2025","87.20","85.25","93.85","84.60","50.50M","2.29%"
"05/01/2025","85.25","82.70","85.25","77.95","56.10M","3.08%"
"04/01/2025","82.70","72.60","84.50","65.90","57.88M","12.06%"
"03/01/2025","73.80","75.00","75.00","71.25","35.30M","-1.60%"
"02/01/2025","75.00","71.00","78.55","70.00","81.13M","5.63%"
"01/01/2025","71.00","69.95","71.50","69.00","46.59M","1.50%"
"12/01/2024","69.95","58.00","76.95","63.80","206.66M","20.60%"
"11/01/2024","58.00","38.50","61.20","37.70","169.93M","50.65%"
"10/01/2024","38.50","37.00","38.50","36.00","41.25M","4.05%"
"09/01/2024","37.00","37.60","38.50","35.60","47.84M","-1.60%"
"08/01/2024","37.60","36.80","37.80","36.70","38.69M","2.17%"
"07/01/2024","36.80","34.05","37.00","35.00","35.40M","8.08%"
"06/01/2024","34.05","33.80","36.80","33.00","16.94M","0.74%"
"05/01/2024","33.80","32.85","35.00","32.85","29.64M","2.89%"
"04/01/2024","32.85","36.15","37.00","32.60","46.76M","-13.67%"
"03/01/2024","38.05","31.95","38.05","32.00","52.28M","19.09%"
"02/01/2024","31.95","36.00","41.50","29.00","75.03M","-11.25%"
"01/01/2024","36.00","31.50","51.00","31.50","161.19M","14.29%"
"12/01/2023","31.50","29.85","34.10","29.50","78.25M","5.53%"
"11/01/2023","29.85","27.20","30.00","28.00","41.41M","9.74%"
"10/01/2023","27.20","29.95","29.60","27.20","30.93M","-9.18%"
"09/01/2023","29.95","29.05","30.90","28.00","79.72M","3.10%"
"08/01/2023","29.05","26.60","29.10","26.65","76.41M","9.21%"
"07/01/2023","26.60","29.50","31.50","26.60","163.90M","-9.83%"
"06/01/2023","29.50","26.00","30.50","25.50","136.27M","13.46%"
"05/01/2023","26.00","24.10","27.10","23.50","97.08M","7.88%"
"04/01/2023","24.10","26.00","26.00","23.00","40.71M","-7.31%"
"03/01/2023","26.00","27.40","27.20","25.00","61.65M","-5.11%"
"02/01/2023","27.40","25.10","27.40","25.00","60.50M","9.16%"
"01/01/2023","25.10","24.00","25.50","24.00","37.90M","4.58%"
"12/01/2022","24.00","22.05","24.00","21.70","24.77M","8.84%"
"11/01/2022","22.05","22.25","22.60","20.10","25.42M","-0.90%"
"10/01/2022","22.25","24.50","23.50","21.00","23.66M","-9.18%"
"09/01/2022","24.50","25.00","24.90","23.90","18.83M","-2.00%"
"08/01/2022","25.00","23.40","25.45","23.20","34.66M","6.84%"
