"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","839.50","720.00","862.00","720.00","85.48M","16.60%"
"06/01/2026","720.00","820.00","830.00","720.00","144.32M","-12.20%"
"05/01/2026","820.00","915.00","915.00","800.10","103.79M","-10.38%"
"04/01/2026","915.00","760.00","915.00","729.00","94.88M","20.39%"
"03/01/2026","760.00","760.00","819.00","701.10","147.18M","0.00%"
"02/01/2026","760.00","572.00","780.00","572.00","85.11M","32.87%"
"01/01/2026","572.00","511.00","605.00","511.00","47.57M","11.94%"
"12/01/2025","511.00","470.60","531.70","470.60","42.11M","8.58%"
"11/01/2025","470.60","520.10","520.10","429.30","51.73M","-9.52%"
"10/01/2025","520.10","425.00","520.10","425.00","59.67M","22.96%"
"09/01/2025","423.00","435.00","435.00","414.10","51.59M","-2.76%"
"08/01/2025","435.00","472.00","480.00","435.00","38.96M","-7.84%"
"07/01/2025","472.00","357.50","495.00","355.00","54.85M","32.03%"
"06/01/2025","357.50","280.10","358.00","289.00","47.36M","27.63%"
"05/01/2025","280.10","250.00","284.90","249.00","141.95M","12.04%"
"04/01/2025","250.00","245.00","259.90","230.00","198.52M","2.04%"
"03/01/2025","245.00","264.20","264.20","238.40","49.58M","-7.27%"
"02/01/2025","264.20","250.00","264.20","251.00","26.45M","5.68%"
"01/01/2025","250.00","200.00","256.30","200.00","46.03M","25.00%"
"12/01/2024","200.00","170.00","207.80","170.00","82.15M","17.65%"
"11/01/2024","170.00","175.10","176.00","169.00","24.24M","-2.91%"
"10/01/2024","175.10","191.00","191.10","175.10","45.44M","-8.32%"
"09/01/2024","191.00","180.00","199.80","179.00","27.97M","6.11%"
"08/01/2024","180.00","200.00","199.80","178.70","29.57M","-10.00%"
"07/01/2024","200.00","214.00","203.50","195.00","18.72M","-6.54%"
"06/01/2024","214.00","230.00","230.00","200.00","26.59M","-6.96%"
"05/01/2024","230.00","210.00","230.50","214.00","42.87M","9.52%"
"04/01/2024","210.00","232.00","230.00","200.00","44.24M","-9.48%"
"03/01/2024","232.00","222.90","267.80","175.00","60.93M","4.08%"
"02/01/2024","222.90","281.00","290.00","222.90","23.48M","-20.68%"
"01/01/2024","281.00","264.00","319.80","271.50","52.86M","6.44%"
"12/01/2023","264.00","238.00","264.00","238.00","30.08M","10.92%"
"11/01/2023","238.00","246.00","241.00","234.00","57.81M","-3.25%"
"10/01/2023","246.00","264.00","260.00","246.00","18.98M","-6.82%"
"09/01/2023","264.00","274.50","274.50","260.00","24.00M","-3.83%"
"08/01/2023","274.50","262.00","290.00","263.00","63.18M","4.77%"
"07/01/2023","262.00","273.40","285.00","262.00","39.50M","-4.17%"
"06/01/2023","273.40","251.00","284.90","246.60","43.89M","8.92%"
"05/01/2023","251.00","228.70","253.00","228.50","46.56M","9.75%"
"04/01/2023","228.70","240.00","230.00","224.00","14.41M","-4.71%"
"03/01/2023","240.00","245.00","249.50","220.40","27.22M","-2.04%"
"02/01/2023","245.00","225.00","247.00","233.50","20.38M","8.89%"
"01/01/2023","225.00","215.00","230.00","215.00","21.32M","4.65%"
"12/01/2022","215.00","218.50","220.00","208.00","59.37M","-1.60%"
"11/01/2022","218.50","196.90","218.50","187.40","44.74M","10.97%"
"10/01/2022","196.90","199.80","199.00","192.00","43.29M","-1.45%"
"09/01/2022","199.80","199.00","200.10","199.00","36.53M","0.40%"
"08/01/2022","199.00","200.10","215.00","196.00","55.32M","-0.55%"
