"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","11,370.90","11,363.90","11,495.00","11,200.00","4.73M","0.06%"
"06/01/2026","11,363.90","11,431.71","11,431.71","11,363.90","2.74M","-0.59%"
"05/01/2026","11,431.71","11,395.83","11,499.92","11,395.83","2.71M","0.31%"
"04/01/2026","11,395.83","9,021.39","11,395.83","9,021.39","4.16M","26.32%"
"03/01/2026","9,021.39","9,021.39","9,021.39","9,021.39","2.12M","0.00%"
"02/01/2026","9,021.39","6,642.20","9,021.39","6,642.20","3.39M","35.18%"
"01/01/2026","6,673.86","5,786.33","6,673.86","5,588.11","3.96M","14.89%"
"12/01/2025","5,809.00","5,809.00","5,809.00","5,809.00","2.05M","0.00%"
"11/01/2025","5,809.00","5,877.17","5,877.17","5,809.00","1.13M","-1.83%"
"10/01/2025","5,917.20","5,917.20","5,917.20","5,917.20","2.15M","10.75%"
"09/01/2025","5,342.91","5,342.91","5,342.91","5,342.91","709.20K","0.00%"
"08/01/2025","5,342.91","5,413.13","5,413.13","5,342.91","1.55M","-1.96%"
"07/01/2025","5,450.00","5,450.00","5,450.00","5,450.00","4.86M","0.00%"
"06/01/2025","5,450.00","4,964.40","5,450.00","4,964.40","1.74M","9.78%"
"05/01/2025","4,964.40","5,646.88","5,646.88","4,964.40","600.79K","-12.09%"
"04/01/2025","5,646.88","5,646.88","5,646.88","5,646.88","124.69K","0.00%"
"03/01/2025","5,646.88","5,646.88","5,646.88","5,646.88","920.07K","0.00%"
"02/01/2025","5,646.88","5,646.88","5,646.88","5,646.88","703.44K","-0.93%"
"01/01/2025","5,700.00","5,700.00","5,700.00","5,700.00","2.79M","0.00%"
"12/01/2024","5,700.00","5,300.00","5,700.00","5,300.00","5.31M","7.55%"
"11/01/2024","5,300.00","5,700.00","5,700.00","5,075.60","2.36M","-7.02%"
"10/01/2024","5,700.00","4,103.10","5,738.20","4,103.10","10.64M","38.92%"
"09/01/2024","4,103.10","3,730.10","4,103.10","3,730.10","812.53K","10.00%"
"08/01/2024","3,730.10","3,730.00","3,730.10","3,682.90","1.62M","0.00%"
"07/01/2024","3,730.00","3,794.90","3,730.00","3,480.00","1.70M","-1.71%"
"06/01/2024","3,794.90","3,365.50","3,794.90","3,441.00","1.34M","11.29%"
"05/01/2024","3,410.00","3,291.40","3,410.00","2,962.20","2.61M","3.60%"
"04/01/2024","3,291.40","3,330.70","3,033.00","2,962.30","76.90K","-2.33%"
"03/01/2024","3,370.00","3,370.00","3,033.00","3,033.00","442.06K","0.00%"
"02/01/2024","3,370.00","3,074.60","3,370.00","3,370.00","1.00M","9.61%"
"01/01/2024","3,074.60","2,310.00","3,074.60","2,541.00","2.07M","33.10%"
"12/01/2023","2,310.00","2,310.10","2,320.00","2,310.00","2.95M","0.00%"
"11/01/2023","2,310.10","1,905.00","2,310.10","1,980.10","1.39M","21.27%"
"10/01/2023","1,905.00","1,837.00","1,905.00","1,837.00","3.77M","3.70%"
"09/01/2023","1,837.00","1,837.00","1,943.40","1,653.30","3.01M","0.00%"
"08/01/2023","1,837.00","1,693.60","1,837.00","1,837.00","3.33M","8.47%"
"07/01/2023","1,693.60","1,399.80","1,693.60","1,539.70","1.42M","20.99%"
"06/01/2023","1,399.80","1,200.00","1,399.80","1,320.00","3.03M","16.65%"
"05/01/2023","1,200.00","1,115.30","1,200.00","1,161.10","2.95M","7.59%"
"04/01/2023","1,115.30","1,105.04","1,105.04","1,105.04","1.22M","0.93%"
"03/01/2023","1,105.04","1,273.20","1,153.08","1,105.04","1.73M","-13.21%"
"02/01/2023","1,273.20","1,056.99","1,273.20","1,162.69","4.79M","20.45%"
"01/01/2023","1,056.99","1,056.99","1,056.99","1,056.99","657.95K","0.00%"
"12/01/2022","1,056.99","1,008.95","1,056.99","1,008.95","2.21M","4.76%"
"11/01/2022","1,008.95","1,153.08","1,056.99","1,008.95","3.32M","-12.50%"
"10/01/2022","1,153.08","1,201.13","1,153.08","1,153.08","3.30M","-4.00%"
"09/01/2022","1,201.13","1,249.17","1,201.13","1,201.13","1.23M","-3.85%"
"08/01/2022","1,249.17","1,374.57","1,249.17","1,249.17","1.73M","-9.12%"
