"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","45.30","38.40","48.90","37.85","399.84M","17.97%"
"06/01/2026","38.40","44.50","44.95","37.50","509.24M","-13.71%"
"05/01/2026","44.50","42.75","45.50","39.95","864.21M","4.09%"
"04/01/2026","42.75","46.40","55.20","41.00","899.47M","-7.87%"
"03/01/2026","46.40","48.80","51.00","45.50","706.95M","-4.92%"
"02/01/2026","48.80","44.30","50.40","42.95","462.54M","10.16%"
"01/01/2026","44.30","41.65","46.60","42.10","219.64M","6.36%"
"12/01/2025","41.65","36.45","42.00","36.50","197.76M","14.27%"
"11/01/2025","36.45","40.05","42.15","34.25","509.46M","-8.99%"
"10/01/2025","40.05","43.20","43.60","39.00","494.30M","-7.29%"
"09/01/2025","43.20","48.65","49.50","42.30","439.31M","-11.20%"
"08/01/2025","48.65","49.60","50.00","47.50","352.28M","-1.92%"
"07/01/2025","49.60","35.37","50.51","35.42","817.90M","40.21%"
"06/01/2025","35.37","34.68","38.42","31.63","591.54M","2.02%"
"05/01/2025","34.68","34.98","35.47","32.98","1.92B","-0.86%"
"04/01/2025","34.98","36.87","36.97","30.48","421.20M","-5.22%"
"03/01/2025","36.90","36.80","39.95","34.00","327.89M","0.27%"
"02/01/2025","36.80","37.70","39.40","36.60","340.49M","-2.39%"
"01/01/2025","37.70","34.00","38.40","33.65","375.06M","10.88%"
"12/01/2024","34.00","32.70","37.80","32.70","553.35M","3.98%"
"11/01/2024","32.70","29.80","35.05","28.05","882.02M","9.73%"
"10/01/2024","29.80","29.80","30.10","24.05","1.16B","5.30%"
"09/01/2024","28.30","23.05","28.30","22.75","585.65M","23.31%"
"08/01/2024","22.95","20.30","23.65","19.80","510.46M","13.05%"
"07/01/2024","20.30","22.45","24.35","19.40","501.42M","-9.58%"
"06/01/2024","22.45","22.20","23.05","20.00","317.63M","1.13%"
"05/01/2024","22.20","23.90","27.45","18.90","846.49M","-7.11%"
"04/01/2024","23.90","28.00","28.40","22.65","842.80M","-14.64%"
"03/01/2024","28.00","22.55","28.50","21.05","626.23M","24.17%"
"02/01/2024","22.55","24.40","29.40","19.75","650.49M","-7.58%"
"01/01/2024","24.40","25.65","34.00","24.40","976.08M","-4.87%"
"12/01/2023","25.65","21.35","26.50","21.20","493.75M","20.14%"
"11/01/2023","21.35","20.90","21.95","19.45","905.32M","2.15%"
"10/01/2023","20.90","16.80","20.90","16.45","632.36M","24.40%"
"09/01/2023","16.80","14.00","18.05","12.90","1.14B","20.00%"
"08/01/2023","14.00","14.00","14.70","13.40","399.44M","0.00%"
"07/01/2023","14.00","12.25","15.60","12.10","2.38B","14.29%"
"06/01/2023","12.25","9.90","13.10","9.25","1.54B","23.74%"
"05/01/2023","9.90","7.75","11.00","7.75","1.12B","27.74%"
"04/01/2023","7.75","8.35","8.60","7.70","473.33M","-7.19%"
"03/01/2023","8.35","8.70","8.90","7.85","315.90M","-4.02%"
"02/01/2023","8.70","8.20","8.80","8.10","224.94M","6.10%"
"01/01/2023","8.20","7.60","8.50","7.70","207.01M","7.89%"
"12/01/2022","7.60","7.25","7.85","7.25","90.42M","4.83%"
"11/01/2022","7.25","7.15","7.45","6.75","124.69M","1.40%"
"10/01/2022","7.15","7.00","7.20","6.55","72.89M","2.14%"
"09/01/2022","7.00","7.25","7.55","6.95","168.65M","-2.78%"
"08/01/2022","7.20","7.20","7.30","6.95","270.24M","0.00%"
