"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","122.45","110.00","128.00","100.00","774.36M","11.32%"
"06/01/2026","110.00","131.10","131.50","110.00","509.57M","-16.09%"
"05/01/2026","131.10","130.50","136.10","122.00","655.74M","0.46%"
"04/01/2026","130.50","95.80","136.90","102.50","936.56M","36.22%"
"03/01/2026","95.80","91.00","113.30","90.50","785.98M","5.27%"
"02/01/2026","91.00","71.45","94.00","71.35","1.01B","27.36%"
"01/01/2026","71.45","61.80","72.50","63.00","637.97M","15.61%"
"12/01/2025","61.80","60.00","65.95","59.50","633.72M","3.00%"
"11/01/2025","60.00","63.00","65.00","53.70","668.88M","-4.76%"
"10/01/2025","63.00","69.50","69.90","62.15","410.92M","-8.70%"
"09/01/2025","69.00","66.00","70.00","63.20","672.39M","4.55%"
"08/01/2025","66.00","76.50","77.10","65.20","419.21M","-13.73%"
"07/01/2025","76.50","56.95","78.50","55.05","660.39M","34.33%"
"06/01/2025","56.95","49.00","58.55","43.00","850.37M","16.22%"
"05/01/2025","49.00","47.80","49.45","46.50","448.36M","2.51%"
"04/01/2025","47.80","47.00","51.00","43.85","456.00M","1.70%"
"03/01/2025","47.00","48.35","49.45","45.60","552.59M","-2.79%"
"02/01/2025","48.35","50.60","52.00","47.80","612.45M","-4.45%"
"01/01/2025","50.60","45.50","51.45","44.50","338.75M","11.21%"
"12/01/2024","45.50","44.50","47.00","43.75","342.96M","2.25%"
"11/01/2024","44.50","39.95","45.00","39.95","316.06M","11.39%"
"10/01/2024","39.95","37.75","40.30","37.25","415.09M","5.83%"
"09/01/2024","37.75","38.50","41.00","35.10","558.29M","-1.31%"
"08/01/2024","38.25","33.10","38.90","33.30","358.11M","15.56%"
"07/01/2024","33.10","35.70","40.35","33.10","625.88M","-7.28%"
"06/01/2024","35.70","33.00","36.25","31.95","341.25M","8.18%"
"05/01/2024","33.00","32.10","37.80","29.70","530.11M","2.80%"
"04/01/2024","32.10","44.50","44.95","31.25","838.98M","-27.87%"
"03/01/2024","44.50","35.00","44.50","33.00","467.71M","27.14%"
"02/01/2024","35.00","35.10","41.40","31.50","437.36M","-0.28%"
"01/01/2024","35.10","38.65","47.35","35.10","637.28M","-9.19%"
"12/01/2023","38.65","34.05","39.45","34.05","448.29M","13.51%"
"11/01/2023","34.05","33.15","35.35","33.00","260.63M","2.71%"
"10/01/2023","33.15","31.45","33.80","31.40","292.20M","5.41%"
"09/01/2023","31.45","32.90","37.80","31.00","412.62M","-4.41%"
"08/01/2023","32.90","33.90","35.25","32.60","250.79M","-2.95%"
"07/01/2023","33.90","34.25","36.40","30.40","564.34M","-1.02%"
"06/01/2023","34.25","29.00","35.50","27.45","744.32M","18.10%"
"05/01/2023","29.00","22.80","29.95","22.80","733.42M","27.19%"
"04/01/2023","22.80","25.85","25.90","21.70","285.38M","-11.80%"
"03/01/2023","25.85","26.50","27.00","23.65","278.80M","-2.45%"
"02/01/2023","26.50","25.00","27.00","24.90","243.73M","6.00%"
"01/01/2023","25.00","24.00","25.80","23.50","247.44M","4.17%"
"12/01/2022","24.00","21.90","25.40","22.00","152.36M","9.59%"
"11/01/2022","21.90","20.00","22.75","19.75","217.68M","9.50%"
"10/01/2022","20.00","20.00","20.85","19.00","143.78M","0.00%"
"09/01/2022","20.00","21.90","21.95","19.50","309.00M","-8.68%"
"08/01/2022","21.90","20.70","22.30","20.95","215.62M","5.80%"
